Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,1,female,38.0,1,0,71.2833,C85,C
1,1,female,35.0,1,0,53.1,C123,S
0,1,male,54.0,0,0,51.8625,E46,S
1,3,female,4.0,1,1,16.7,G6,S
1,1,female,58.0,0,0,26.55,C103,S
1,2,male,34.0,0,0,13.0,D56,S
1,1,male,28.0,0,0,35.5,A6,S
0,1,male,19.0,3,2,263.0,C23 C25 C27,S
1,1,female,49.0,1,0,76.7292,D33,C
0,1,male,65.0,0,1,61.9792,B30,C
0,1,male,45.0,1,0,83.475,C83,S
1,2,female,29.0,0,0,10.5,F33,S
0,3,male,25.0,0,0,7.65,F G73,S
1,1,female,23.0,3,2,263.0,C23 C25 C27,S
0,1,male,46.0,1,0,61.175,E31,S
0,1,male,71.0,0,0,34.6542,A5,C
1,1,male,23.0,0,1,63.3583,D10 D12,C
0,1,male,21.0,0,1,77.2875,D26,S
0,1,male,47.0,0,0,52.0,C110,S
0,1,male,24.0,0,1,247.5208,B58 B60,C
1,2,female,32.5,0,0,13.0,E101,S
0,1,male,54.0,0,1,77.2875,D26,S
1,1,female,19.0,0,2,26.2833,D47,S
0,1,male,37.0,1,0,53.1,C123,S
0,1,male,24.0,0,0,79.2,B86,C
0,2,male,36.5,0,2,26.0,F2,S
1,1,female,22.0,1,0,66.6,C2,S
0,1,male,61.0,0,0,33.5,B19,S
0,1,male,56.0,0,0,30.6958,A7,C
0,1,female,50.0,0,0,28.7125,C49,C
1,2,male,1.0,2,1,39.0,F4,S
1,2,male,3.0,1,1,26.0,F2,S
1,1,female,44.0,0,0,27.7208,B4,C
1,1,female,58.0,0,0,146.5208,B80,C
0,3,female,2.0,0,1,10.4625,G6,S
1,1,male,40.0,0,0,31.0,A31,C
1,1,female,31.0,1,0,113.275,D36,C
1,1,female,32.0,0,0,76.2917,D15,C
1,1,male,38.0,1,0,90.0,C93,S
1,1,female,35.0,1,0,83.475,C83,S
0,1,male,44.0,2,0,90.0,C78,Q
1,1,male,37.0,1,1,52.5542,D35,S
0,3,female,29.0,1,1,10.4625,G6,S
0,1,male,62.0,0,0,26.55,C87,S
1,1,female,30.0,0,0,86.5,B77,S
0,1,male,52.0,1,1,79.65,E67,S
0,1,male,40.0,0,0,0.0,B94,S
1,1,female,58.0,0,1,153.4625,C125,S
1,1,female,35.0,0,0,135.6333,C99,S
0,1,male,37.0,0,1,29.7,C118,C
1,1,female,63.0,1,0,77.9583,D7,S
1,1,female,19.0,1,0,91.0792,B49,C
0,2,male,36.0,0,0,12.875,D,C
0,1,female,2.0,1,2,151.55,C22 C26,S
1,1,female,50.0,0,1,247.5208,B58 B60,C
1,1,male,0.92,1,2,151.55,C22 C26,S
1,1,female,17.0,1,0,108.9,C65,C
1,1,female,30.0,0,0,56.9292,E36,C
1,1,female,24.0,0,0,83.1583,C54,C
1,1,female,18.0,2,2,262.375,B57 B59 B63 B66,C
1,1,female,31.0,0,2,164.8667,C7,S
1,1,female,40.0,1,1,134.5,E34,C
1,1,female,36.0,0,0,135.6333,C32,C
1,2,female,36.0,0,0,13.0,D,S
1,1,female,16.0,0,1,57.9792,B18,C
0,1,male,45.5,0,0,28.5,C124,S
0,1,male,38.0,0,1,153.4625,C91,S
0,1,male,29.0,1,0,66.6,C2,S
1,1,female,41.0,0,0,134.5,E40,C
0,1,male,45.0,0,0,35.5,T,S
1,2,male,2.0,1,1,26.0,F2,S
1,1,female,24.0,3,2,263.0,C23 C25 C27,S
1,2,female,24.0,0,0,13.0,F33,S
1,1,female,22.0,0,1,55.0,E33,S
1,1,female,60.0,1,0,75.25,D37,C
1,1,female,24.0,0,0,69.3,B35,C
1,1,male,25.0,1,0,55.4417,E50,C
0,1,male,27.0,0,2,211.5,C82,C
1,1,male,36.0,1,2,120.0,B96 B98,S
1,1,female,23.0,1,0,113.275,D36,C
1,3,female,24.0,0,2,16.7,G6,S
1,1,female,33.0,1,0,90.0,C78,Q
1,3,male,32.0,0,0,8.05,E10,S
1,1,male,28.0,0,0,26.55,C52,S
0,1,male,50.0,1,0,55.9,E44,S
1,1,female,14.0,1,2,120.0,B96 B98,S
0,1,male,64.0,1,4,263.0,C23 C25 C27,S
1,1,male,4.0,0,2,81.8583,A34,S
1,1,male,52.0,0,0,30.5,C104,S
0,1,male,30.0,0,0,27.75,C111,C
1,1,male,49.0,1,0,89.1042,C92,C
0,1,male,65.0,0,0,26.55,E38,S
1,1,male,48.0,0,0,26.55,E12,S
0,1,male,47.0,0,0,38.5,E63,S
1,2,female,23.0,0,0,13.7917,D,C
1,1,male,25.0,1,0,91.0792,B49,C
1,1,female,35.0,1,0,90.0,C93,S
0,1,male,58.0,0,0,29.7,B37,C
0,1,male,55.0,0,0,30.5,C30,S
1,1,female,54.0,1,0,78.2667,D20,C
0,1,female,25.0,1,2,151.55,C22 C26,S
1,1,female,16.0,0,0,86.5,B79,S
0,1,male,18.0,1,0,108.9,C65,C
1,1,male,36.0,0,0,26.2875,E25,S
0,1,male,47.0,0,0,34.0208,D46,S
1,2,female,34.0,0,0,10.5,F33,S
1,1,female,30.0,0,0,93.5,B73,S
1,1,female,44.0,0,1,57.9792,B18,C
0,1,male,45.0,0,0,26.55,B38,S
1,1,female,22.0,0,2,49.5,B39,C
1,1,female,36.0,0,2,71.0,B22,S
0,1,male,50.0,1,0,106.425,C86,C
1,1,male,17.0,0,2,110.8833,C70,C
1,1,female,48.0,1,0,39.6,A16,C
1,1,female,39.0,1,1,79.65,E67,S
1,1,female,53.0,2,0,51.4792,C101,S
1,1,male,36.0,0,0,26.3875,E25,S
1,1,female,39.0,1,0,55.9,E44,S
1,1,female,39.0,1,1,110.8833,C68,C
0,1,male,36.0,0,0,40.125,A10,C
1,1,female,18.0,0,2,79.65,E68,S
1,1,male,60.0,1,1,79.2,B41,C
1,1,female,52.0,1,0,78.2667,D20,C
1,1,male,49.0,1,0,56.9292,A20,C
1,1,female,40.0,0,0,153.4625,C125,S
1,2,female,4.0,2,1,39.0,F4,S
1,1,male,42.0,1,0,52.5542,D19,S
0,1,male,61.0,0,0,32.3208,D50,S
1,1,female,21.0,0,0,77.9583,D9,S
1,1,male,80.0,0,0,30.0,A23,S
1,1,male,32.0,0,0,30.5,B50,C
1,1,female,24.0,0,0,69.3,B35,C
1,1,male,48.0,1,0,76.7292,D33,C
1,1,male,56.0,0,0,35.5,A26,C
0,1,male,58.0,0,2,113.275,D48,C
0,1,male,47.0,0,0,25.5875,E58,S
0,1,male,31.0,1,0,52.0,B71,S
1,1,male,36.0,0,1,512.3292,B51 B53 B55,C
1,1,male,27.0,0,0,76.7292,D49,C
1,1,female,15.0,0,1,211.3375,B5,S
1,1,male,31.0,1,0,57.0,B20,S
0,1,male,49.0,1,1,110.8833,C68,C
0,3,male,42.0,0,0,7.65,F G63,S
1,1,female,18.0,1,0,227.525,C62 C64,C
1,1,male,35.0,0,0,26.2875,E24,S
1,1,male,42.0,0,0,26.2875,E24,S
1,1,female,24.0,0,0,49.5042,C90,C
1,1,male,48.0,1,0,52.0,C126,S
0,3,male,19.0,0,0,7.65,F G73,S
1,1,female,38.0,0,0,227.525,C45,C
1,2,female,27.0,0,0,10.5,E101,S
1,1,male,27.0,1,0,53.1,E8,S
1,1,female,29.0,0,0,211.3375,B5,S
1,1,male,35.0,0,0,512.3292,B101,C
0,1,male,36.0,1,0,78.85,C46,S
1,1,female,21.0,2,2,262.375,B57 B59 B63 B66,C
0,1,male,70.0,1,1,71.0,B22,S
0,1,male,19.0,1,0,53.1,D30,S
1,3,male,6.0,0,1,12.475,E121,S
1,1,female,33.0,0,0,86.5,B77,S
1,1,female,36.0,1,2,120.0,B96 B98,S
1,1,female,51.0,1,0,77.9583,D11,S
0,2,female,57.0,0,0,10.5,E77,S
1,1,female,43.0,0,1,211.3375,B3,S
1,1,female,17.0,1,0,57.0,B20,S
0,1,male,29.0,0,0,30.0,D6,S
0,1,male,46.0,0,0,79.2,B82 B84,C
1,1,female,49.0,0,0,25.9292,D17,S
1,1,male,11.0,1,2,120.0,B96 B98,S
0,1,male,39.0,0,0,0.0,A36,S
1,1,female,33.0,1,0,53.1,E8,S
1,1,female,52.0,1,1,93.5,B69,S
1,3,female,27.0,0,1,12.475,E121,S
1,1,female,39.0,1,1,83.1583,E49,C
1,1,female,16.0,0,1,39.4,D28,S
1,1,male,51.0,0,0,26.55,E17,S
1,1,female,48.0,0,0,25.9292,D17,S
0,1,male,31.0,0,0,50.4958,A24,S
1,1,female,47.0,1,1,52.5542,D35,S
0,1,male,33.0,0,0,5.0,B51 B53 B55,S
1,1,female,56.0,0,1,83.1583,C50,C
1,1,female,19.0,0,0,30.0,B42,S
1,1,male,26.0,0,0,30.0,C148,C
